year,MinLABIL01_,MinLABIL02_,MinLABIL04_,MinLABIL06_,MinLABIL07_,MinLABIL10_,MinLABIL11_,MinLABIL13_,MinLABIL14_,MinLABIL16_
1936,40.01921844482422,20.51980209350586,20.022716522216797,20.616308212280273,20.41607666015625,41.15835189819336,12.181245803833008,24.32577896118164,40.19256591796875,40.01852035522461
1937,40.05073928833008,20.46486473083496,20.17120361328125,21.97063636779785,20.04226303100586,40.1812744140625,12.063985824584961,15.79271411895752,40.254119873046875,40.14076232910156
1938,40.14075469970703,21.53898811340332,20.023239135742188,57.51591873168945,20.07491683959961,40.424747467041016,13.822366714477539,13.5783052444458,40.0664176940918,40.44176483154297
1939,40.26286697387695,21.572603225708008,20.00914192199707,24.64077377319336,20.008846282958984,40.12681198120117,12.226798057556152,11.087753295898438,40.01996612548828,40.00200271606445
1940,40.0599479675293,20.936803817749023,20.34649085998535,21.29436492919922,20.15577507019043,40.07524490356445,13.212141036987305,12.715479850769043,40.07768630981445,40.01288986206055
1941,40.0577507019043,24.112462997436523,20.025583267211914,21.924705505371094,20.001752853393555,40.052799224853516,12.112675666809082,11.070649147033691,40.02714157104492,40.01941680908203
1942,40.02488327026367,21.230987548828125,20.590255737304688,28.418840408325195,20.017940521240234,40.08122253417969,13.595036506652832,12.618287086486816,45.203857421875,40.425453186035156
1943,40.40898895263672,20.90636444091797,20.025667190551758,22.217042922973633,20.00132942199707,40.126590728759766,14.340195655822754,14.94018268585205,40.36576461791992,40.19762420654297
1944,40.29031753540039,20.22069549560547,20.269485473632812,23.2208309173584,20.139694213867188,40.511600494384766,12.650580406188965,11.348627090454102,40.3441276550293,40.26274108886719
1945,40.06630325317383,20.074188232421875,20.220590591430664,23.640295028686523,20.02212905883789,40.32295227050781,15.483438491821289,11.820841789245605,42.542930603027344,40.083438873291016
1946,40.057464599609375,20.928998947143555,20.140405654907227,21.957868576049805,7.570977687835693,43.55168533325195,15.92297077178955,17.120460510253906,40.520565032958984,40.48976516723633
1947,40.312862396240234,20.416288375854492,20.270368576049805,20.098663330078125,9.388636589050293,42.86825942993164,19.293140411376953,11.740413665771484,47.25006866455078,40.436744689941406
1948,40.00459289550781,20.411046981811523,20.083385467529297,20.95363426208496,11.738389015197754,40.864864349365234,22.608800888061523,16.265499114990234,40.523529052734375,40.17450714111328
1949,40.44157791137695,21.09245491027832,20.025829315185547,20.36733627319336,12.804754257202148,42.330501556396484,16.378507614135742,12.013765335083008,40.00273895263672,40.09979248046875
1950,40.099952697753906,22.637981414794922,22.345216751098633,20.32780647277832,13.772930145263672,46.08614730834961,23.957439422607422,11.690751075744629,40.00151824951172,40.27824401855469
1951,40.30571365356445,20.154966354370117,20.023710250854492,23.341964721679688,7.546272277832031,42.860069274902344,22.630346298217773,15.206472396850586,40.05044937133789,40.08279800415039
1952,40.01137161254883,20.831418991088867,20.091157913208008,35.38948059082031,7.294114589691162,40.68600845336914,15.402140617370605,41.264556884765625,40.13838577270508,40.620506286621094
1953,40.08281707763672,20.024560928344727,20.019880294799805,24.682308197021484,7.174712181091309,40.9059944152832,15.564516067504883,35.06929397583008,42.11100769042969,40.09894561767578
1954,40.05223846435547,20.307964324951172,21.585887908935547,26.277320861816406,7.619174957275391,47.7194938659668,15.499551773071289,82.00759887695312,40.522682189941406,40.133583068847656
1955,40.736427307128906,20.872726440429688,20.25333023071289,28.80984115600586,10.411407470703125,40.66276931762695,14.269837379455566,39.09922790527344,40.437049865722656,40.30091857910156
1956,40.198265075683594,20.041696548461914,20.074569702148438,25.129831314086914,10.495529174804688,40.36036682128906,18.544443130493164,35.30602264404297,40.00556564331055,40.440940856933594
1957,40.19057083129883,22.174121856689453,20.134098052978516,34.11212158203125,13.399406433105469,40.97903060913086,16.7366886138916,28.532203674316406,40.29922103881836,40.42665100097656
1958,40.068538665771484,20.197418212890625,20.17206573486328,28.8260555267334,8.20571517944336,40.262489318847656,16.727806091308594,37.2188720703125,40.66933059692383,40.46072769165039
1959,41.24805450439453,20.758930206298828,20.669862747192383,20.416324615478516,7.228695869445801,40.2410774230957,21.490863800048828,28.817626953125,40.02060317993164,40.04753494262695
1960,40.05710220336914,20.505443572998047,20.318735122680664,39.326377868652344,7.994469165802002,40.16559982299805,14.797043800354004,32.8145866394043,40.338356018066406,40.537513732910156
1961,40.19892501831055,21.148447036743164,21.833271026611328,23.674327850341797,13.30177116394043,40.0097541809082,14.125693321228027,38.64419174194336,49.535491943359375,40.307579040527344
1962,40.15814971923828,21.637176513671875,31.112607955932617,24.601280212402344,9.702580451965332,40.21915054321289,15.9069185256958,32.36112976074219,50.06410598754883,40.124324798583984
1963,40.08320999145508,20.858489990234375,20.619165420532227,22.277151107788086,9.817058563232422,40.2979850769043,18.19423484802246,36.04042053222656,50.18622589111328,40.24543380737305
1964,40.08363723754883,20.790584564208984,20.4166316986084,24.33171272277832,20.15595245361328,40.22787857055664,30.233625411987305,26.646059036254883,50.29178237915039,40.260990142822266
1965,40.02964401245117,23.22438621520996,21.246810913085938,21.22092628479004,20.612098693847656,40.4039192199707,30.015766143798828,25.903827667236328,50.22626495361328,40.24427032470703
1966,40.051109313964844,21.050811767578125,20.237018585205078,20.268871307373047,20.15575408935547,40.39402770996094,30.087236404418945,28.230276107788086,50.21043395996094,40.018714904785156
1967,40.09590148925781,20.904460906982422,20.586313247680664,22.69534683227539,20.188608169555664,40.198822021484375,30.135717391967773,26.84825897216797,50.06403350830078,40.12554168701172
1968,40.11643981933594,20.432931900024414,20.090662002563477,27.244050979614258,20.0739803314209,40.0057373046875,30.071163177490234,25.431665420532227,50.07245635986328,40.34173583984375
1969,40.001922607421875,20.009506225585938,20.10226821899414,20.23861312866211,20.041454315185547,40.02609634399414,30.374401092529297,26.095136642456055,50.2758903503418,40.12717819213867
1970,40.0265998840332,20.009592056274414,20.227622985839844,20.41627311706543,20.179672241210938,40.08659362792969,30.39583969116211,30.412508010864258,50.01457977294922,40.0106315612793
1971,40.14908981323242,20.05255126953125,20.04006004333496,21.9302978515625,20.155757904052734,40.149166107177734,30.103239059448242,28.084712982177734,50.253875732421875,40.051414489746094
1972,40.049808502197266,20.089111328125,20.125093460083008,27.330608367919922,20.334665298461914,40.198001861572266,30.55906867980957,34.035125732421875,50.15327453613281,40.49863052368164
1973,40.02715301513672,40.02909469604492,20.082416534423828,20.044719696044922,20.13827133178711,40.34415817260742,30.114351272583008,25.019819259643555,50.02403259277344,40.27127456665039
1974,40.248870849609375,41.89105224609375,20.218645095825195,20.00923728942871,20.089902877807617,40.37565994262695,30.153230667114258,29.243024826049805,50.219818115234375,40.03436279296875
1975,41.33675003051758,40.21337890625,20.21552848815918,22.91803550720215,20.318464279174805,40.5666618347168,30.63277244567871,29.98956871032715,51.05830383300781,40.181156158447266
1976,40.613285064697266,40.58913803100586,20.636734008789062,24.20987319946289,21.344392776489258,40.0021858215332,30.34736442565918,25.137815475463867,50.09672927856445,40.73349380493164
1977,40.28007507324219,41.1259651184082,20.468290328979492,20.492395401000977,20.309961318969727,40.05081558227539,30.120851516723633,20.51424217224121,50.17828369140625,40.230712890625
1978,40.058902740478516,41.54264450073242,20.69308853149414,21.034574508666992,20.04933738708496,40.11492919921875,30.070541381835938,16.7935733795166,50.699893951416016,40.05112075805664
1979,40.03544235229492,40.63492965698242,20.244522094726562,22.935762405395508,20.10123634338379,40.003074645996094,30.072879791259766,23.51229476928711,51.618385314941406,40.00177764892578
1980,40.02013397216797,40.327457427978516,20.148649215698242,27.27135467529297,20.278066635131836,40.05130386352539,13.084555625915527,18.603025436401367,50.359954833984375,40.054813385009766
1981,40.036434173583984,40.29710388183594,20.4033203125,20.652196884155273,20.050336837768555,40.297462463378906,12.430671691894531,15.141975402832031,69.87702941894531,40.04985046386719
1982,40.12419128417969,41.57307815551758,20.89946174621582,40.217288970947266,20.416671752929688,40.1033821105957,50.096397399902344,33.375633239746094,54.899845123291016,40.73472595214844
1983,40.001590728759766,40.05146026611328,20.239566802978516,21.4742488861084,20.644275665283203,41.027164459228516,11.299957275390625,19.023292541503906,40.0104866027832,40.00425338745117
1984,40.083316802978516,43.8635368347168,20.136646270751953,23.66379737854004,20.08493423461914,40.007240295410156,11.722433090209961,19.613245010375977,52.59572982788086,40.25090026855469
1985,40.03506851196289,40.00179672241211,40.0190544128418,20.009092330932617,20.136686325073242,40.2466926574707,12.284276962280273,17.356281280517578,40.01307678222656,40.00226593017578
1986,40.2945671081543,40.69657897949219,40.21369552612305,21.71786117553711,21.31993293762207,40.34497833251953,11.429227828979492,35.40563201904297,40.16486358642578,40.100730895996094
1987,40.00242614746094,40.08341979980469,44.780887603759766,21.670347213745117,21.393203735351562,40.572818756103516,11.803093910217285,38.244117736816406,40.09962844848633,40.21345520019531
1988,40.50846862792969,40.06805419921875,40.13274002075195,21.4730167388916,20.076635360717773,40.16230392456055,11.217432975769043,21.539573669433594,40.11616134643555,40.229557037353516
1989,41.42395782470703,40.70254898071289,40.11609649658203,21.67792510986328,23.672748565673828,40.24662780761719,11.217974662780762,29.89117431640625,40.33262634277344,40.00210952758789
1990,40.66481399536133,40.07020568847656,41.25385665893555,24.150344848632812,31.182764053344727,40.311866760253906,14.799705505371094,39.880008697509766,40.4818115234375,40.637081146240234
1991,40.7109260559082,40.07741928100586,40.0025749206543,20.333892822265625,24.2582950592041,40.16148376464844,11.103086471557617,34.3712158203125,40.08331298828125,40.49677658081055
1992,40.29500961303711,40.506919860839844,41.33427429199219,23.917003631591797,29.030725479125977,41.56729507446289,12.120975494384766,29.54079246520996,40.3117790222168,41.93975067138672
1993,40.63175582885742,40.01858139038086,40.11631393432617,24.147815704345703,20.31063461303711,40.848968505859375,11.429034233093262,48.09481430053711,40.01052474975586,43.743751525878906
1994,40.14551544189453,41.27452850341797,40.0272216796875,20.57881736755371,35.11784744262695,40.19732666015625,11.902789115905762,34.79352569580078,40.10066223144531,40.25141906738281
1995,40.25529098510742,41.270938873291016,40.019187927246094,21.76828384399414,24.416179656982422,40.3443717956543,12.407638549804688,42.86282730102539,40.16530990600586,40.22442626953125
1996,40.118099212646484,41.183319091796875,41.85933303833008,33.644065856933594,35.703590393066406,40.0838623046875,14.621170043945312,56.5717658996582,40.00241470336914,42.902286529541016
1997,40.02370834350586,40.25985336303711,40.20265579223633,25.333219528198242,32.20408248901367,40.07836151123047,11.253305435180664,39.54813766479492,40.27991485595703,40.19554901123047
1998,40.15453338623047,40.848392486572266,40.98030090332031,27.90535545349121,42.22232437133789,40.01019287109375,12.376224517822266,38.24421691894531,40.30720520019531,41.21702575683594
1999,40.259159088134766,40.05118942260742,40.22956848144531,24.877561569213867,33.86457061767578,40.14887619018555,12.550840377807617,31.4710750579834,40.00147247314453,40.19872283935547
2000,40.103118896484375,40.021705627441406,40.1993293762207,26.939546585083008,25.659090042114258,40.317909240722656,11.29116153717041,30.663053512573242,40.18172836303711,40.36927032470703
2001,40.06947708129883,40.54008483886719,40.00248336791992,24.416107177734375,33.52265930175781,40.188716888427734,12.764299392700195,30.942535400390625,40.00267791748047,41.758113861083984
2002,40.17658996582031,40.267539978027344,40.64089584350586,28.312700271606445,26.02506446838379,40.54291915893555,13.831499099731445,35.75214767456055,40.14385986328125,40.772430419921875
2003,40.32868576049805,40.1473503112793,40.19600296020508,23.05411720275879,27.66935920715332,40.425750732421875,11.016292572021484,43.13825988769531,40.03650665283203,42.39838790893555
2004,40.59760284423828,40.14030838012695,40.59697341918945,27.13235092163086,22.207008361816406,40.44462966918945,13.57822036743164,42.90113830566406,40.02116775512695,41.029502868652344
2005,10.631667137145996,40.238216400146484,40.19141387939453,23.17600440979004,20.378280639648438,40.08345031738281,15.66248893737793,66.99557495117188,40.57249450683594,41.15681457519531
2006,12.462857246398926,43.16337203979492,40.24961853027344,27.157060623168945,20.75830078125,40.15699005126953,11.309715270996094,29.934526443481445,40.14369201660156,40.55613327026367
2007,10.040059089660645,40.0188102722168,40.27867126464844,23.143617630004883,22.679201126098633,40.30398178100586,13.507706642150879,35.45118713378906,40.06169509887695,43.341102600097656
2008,13.651711463928223,40.297969818115234,41.66252517700195,24.576522827148438,22.494504928588867,40.068119049072266,17.430950164794922,27.34981918334961,40.63631057739258,48.2919807434082
2009,10.84354305267334,40.11726379394531,40.70328903198242,23.18384552001953,21.52252197265625,40.26447296142578,11.868849754333496,37.898956298828125,40.0174560546875,42.932376861572266
2010,10.598753929138184,40.10138702392578,40.13331985473633,23.672636032104492,21.19009017944336,40.02949523925781,12.210897445678711,33.41568374633789,40.52067565917969,40.700626373291016
2011,10.35556411743164,41.12764358520508,40.10191345214844,24.549211502075195,25.560388565063477,40.303531646728516,12.096980094909668,60.93729782104492,40.7521858215332,41.3731803894043
2012,10.860139846801758,40.0614013671875,40.68525314331055,23.589588165283203,20.97060775756836,40.090972900390625,13.441519737243652,18.56282615661621,40.34388732910156,41.73002624511719
2013,10.308673858642578,40.22695541381836,46.37696075439453,26.146434783935547,21.74361801147461,40.137413024902344,22.625423431396484,22.866777420043945,41.470069885253906,60.029483795166016
2014,14.736204147338867,40.0060920715332,40.80033874511719,25.205177307128906,21.574989318847656,40.050174713134766,15.08747673034668,41.46998596191406,40.64524459838867,40.858123779296875
2015,10.19140911102295,40.60823059082031,40.04978561401367,24.02565574645996,21.905607223510742,40.36310958862305,14.098479270935059,63.70695114135742,41.946773529052734,44.52968978881836
2016,10.151212692260742,40.09925842285156,40.04920959472656,23.54280662536621,20.782575607299805,40.068199157714844,14.522644996643066,18.978336334228516,43.76682662963867,54.55076217651367
2017,10.037612915039062,40.56203079223633,40.397239685058594,23.297443389892578,21.841442108154297,40.68980026245117,16.428234100341797,37.35375213623047,40.37430191040039,94.63504028320312
2018,10.485515594482422,40.27121353149414,40.44330596923828,23.021522521972656,20.04083251953125,40.06686782836914,13.090478897094727,19.709556579589844,41.954959869384766,48.31449508666992
2019,10.012401580810547,40.507423400878906,40.3703498840332,23.154375076293945,20.105932235717773,40.585899353027344,11.00758171081543,47.97702407836914,42.4229850769043,53.92064666748047
2020,10.102934837341309,40.90684127807617,41.49092483520508,23.496456146240234,20.562400817871094,40.19670104980469,13.277595520019531,36.55533218383789,40.57337951660156,42.009971618652344
2021,10.353632926940918,40.03825378417969,40.094303131103516,24.372276306152344,20.02796173095703,40.01881790161133,11.965608596801758,32.74002456665039,40.191261291503906,44.575584411621094
2022,11.179831504821777,40.97425079345703,40.319091796875,24.371143341064453,21.532291412353516,40.55000305175781,18.483278274536133,33.44041061401367,42.464088439941406,43.662261962890625
2023,11.298456192016602,43.66649627685547,41.33563232421875,28.69631004333496,22.780689239501953,40.10205078125,14.163436889648438,122.20744323730469,44.26723098754883